project,bug_id,tool,rank,mrr,map,map_recalc_single_gt,map_recalc_with_gt,map_recalc_conservative,map_diff_single,map_diff_with_gt,map_diff_conservative,top@1,top@5,top@10
Closure,154,buglocator,21.0,0.047619,0.047619,0.047619047619047616,0.023809523809523808,0.047619047619047616,4.7619047614799737e-08,0.023809476190476193,4.7619047614799737e-08,0,0,0
Closure,154,locus,5.0,0.2,0.2,0.2,0.30000000000000004,0.2,0.0,0.10000000000000003,0.0,0,1,1
Closure,155,FlexFL,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.41666666666666663,0.3333333333333333,0.0,0.08333333333333331,0.0,0,1,1
Closure,155,boostnsift,356.0,0.002809,0.002809,0.0028089887640449437,0.0014044943820224719,0.0028089887640449437,1.1235955056122793e-08,0.001404505617977528,1.1235955056122793e-08,0,0,0
Closure,155,buglocator,121.0,0.008264,0.008264,0.008264462809917356,0.004132231404958678,0.008264462809917356,4.6280991735508925e-07,0.004131768595041323,4.6280991735508925e-07,0,0,0
Closure,155,locus,103.0,0.009709,0.009709,0.009708737864077669,0.0048543689320388345,0.009708737864077669,2.6213592233155503e-07,0.004854631067961166,2.6213592233155503e-07,0,0,0
Closure,156,FlexFL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Closure,156,boostnsift,77.0,0.012987,0.012987,0.012987012987012988,0.012987012987012988,0.012987012987012988,1.2987012987589197e-08,1.2987012987589197e-08,1.2987012987589197e-08,0,0,0
Closure,156,buglocator,15.0,0.066667,0.066667,0.06666666666666667,0.06666666666666667,0.06666666666666667,3.333333333382926e-07,3.333333333382926e-07,3.333333333382926e-07,0,0,0
Closure,156,locus,51.0,0.019608,0.019608,0.0196078431372549,0.0196078431372549,0.0196078431372549,1.5686274509874032e-07,1.5686274509874032e-07,1.5686274509874032e-07,0,0,0
Closure,157,FlexFL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Closure,157,boostnsift,72.0,0.013889,0.013889,0.013888888888888888,0.004629629629629629,0.013888888888888888,1.1111111111218597e-07,0.009259370370370371,1.1111111111218597e-07,0,0,0
Closure,157,buglocator,144.0,0.006944,0.006944,0.006944444444444444,0.0023148148148148147,0.006944444444444444,4.4444444444440706e-07,0.004629185185185185,4.4444444444440706e-07,0,0,0
Closure,157,locus,53.0,0.018868,0.018868,0.018867924528301886,0.006289308176100628,0.018867924528301886,7.547169811328303e-08,0.012578691823899372,7.547169811328303e-08,0,0,0
Closure,158,FlexFL,2.0,0.5,0.1666666666666666,0.5,0.5357142857142857,0.5,0.33333333333333337,0.36904761904761907,0.33333333333333337,1,1,1
Closure,158,boostnsift,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,1
Closure,158,buglocator,8.0,0.125,0.125,0.125,0.03125,0.125,0.0,0.09375,0.0,0,0,1
Closure,158,locus,82.0,0.012195,0.012195,0.012195121951219513,0.003048780487804878,0.012195121951219513,1.2195121951337484e-07,0.00914621951219512,1.2195121951337484e-07,0,0,0
Closure,159,FlexFL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Closure,159,boostnsift,28.0,0.035714,0.035714,0.03571428571428571,0.03571428571428571,0.03571428571428571,2.857142857096151e-07,2.857142857096151e-07,2.857142857096151e-07,0,0,0
Closure,159,buglocator,15.0,0.066667,0.066667,0.06666666666666667,0.06666666666666667,0.06666666666666667,3.333333333382926e-07,3.333333333382926e-07,3.333333333382926e-07,0,0,0
Closure,159,locus,43.0,0.023256,0.023256,0.023255813953488372,0.023255813953488372,0.023255813953488372,1.8604651162712482e-07,1.8604651162712482e-07,1.8604651162712482e-07,0,0,0
Closure,160,FlexFL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Closure,160,boostnsift,2.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0,1,1
Closure,160,buglocator,11.0,0.090909,0.090909,0.09090909090909091,0.09090909090909091,0.09090909090909091,9.090909090792021e-08,9.090909090792021e-08,9.090909090792021e-08,0,0,0
Closure,160,locus,35.0,0.028571,0.028571,0.02857142857142857,0.02857142857142857,0.02857142857142857,4.2857142857136155e-07,4.2857142857136155e-07,4.2857142857136155e-07,0,0,0
Closure,161,FlexFL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,1
Closure,161,boostnsift,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,1
Closure,161,buglocator,15.0,0.066667,0.066667,0.06666666666666667,0.06666666666666667,0.06666666666666667,3.333333333382926e-07,3.333333333382926e-07,3.333333333382926e-07,0,0,0
Closure,161,locus,18.0,0.055556,0.055556,0.05555555555555555,0.05555555555555555,0.05555555555555555,4.4444444444874387e-07,4.4444444444874387e-07,4.4444444444874387e-07,0,0,0
Closure,162,FlexFL,2.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0,1,1
Closure,162,boostnsift,199.0,0.005025,0.005025,0.005025125628140704,0.005025125628140704,0.005025125628140704,1.2562814070363887e-07,1.2562814070363887e-07,1.2562814070363887e-07,0,0,0
Closure,162,buglocator,229.0,0.004367,0.004367,0.004366812227074236,0.004366812227074236,0.004366812227074236,1.8777292576464127e-07,1.8777292576464127e-07,1.8777292576464127e-07,0,0,0
Closure,162,locus,74.0,0.013514,0.013514,0.013513513513513514,0.013513513513513514,0.013513513513513514,4.864864864857071e-07,4.864864864857071e-07,4.864864864857071e-07,0,0,0
Closure,163,FlexFL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Closure,163,boostnsift,162.0,0.006173,0.006173,0.006172839506172839,0.0010288065843621398,0.006172839506172839,1.6049382716050442e-07,0.00514419341563786,1.6049382716050442e-07,0,0,0
