project,bug_id,tool,detected,rank,duration_seconds,execution_timestamp,comparison_timestamp,cpu_avg_percent,cpu_max_percent,memory_avg_bytes,memory_max_bytes,memory_limit_bytes,network_rx_total_bytes,network_tx_total_bytes,disk_read_total_bytes,disk_write_total_bytes,top@1,top@5,top@10
Jsoup,3,buglocator,Yes,6,4.950546026229858,2025-11-18T17:39:22.097619,2025-12-02T15:34:25.387814,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
Jsoup,3,locus,Yes,3,4.86699914932251,2025-11-22T11:43:38.216202,2025-12-07T16:19:43.253541,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,1
Jsoup,4,boostnsift,No,N/A,5.4480462074279785,2025-11-18T17:40:42.846403,2025-12-07T16:19:43.253541,3.23,3.23,23089643.0,23089643,134861973094,486,0,0,0,0,0,0
Jsoup,4,buglocator,Yes,15,5.323008298873901,2025-11-18T17:40:44.857881,2025-12-02T15:34:25.387814,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Jsoup,4,locus,Yes,10,8.865149021148682,2025-11-22T11:44:28.905120,2025-12-07T16:19:43.253541,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,1
Jsoup,5,boostnsift,No,N/A,5.550799369812012,2025-11-18T17:42:00.561722,2025-12-07T16:19:43.253541,1.93,1.93,23016243.0,23016243,134861973094,486,0,0,0,0,0,0
Jsoup,5,buglocator,Yes,1,5.267836570739746,2025-11-18T17:42:02.436260,2025-12-02T15:34:25.387814,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1
Jsoup,5,locus,Yes,2,5.153552293777466,2025-11-22T11:45:09.597160,2025-12-07T16:19:43.253541,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,1
Jsoup,6,boostnsift,No,N/A,5.7517993450164795,2025-11-18T17:43:25.664288,2025-12-07T16:19:43.253541,2.88,2.88,22754099.0,22754099,134861973094,486,0,0,N/A,0,0,0
Jsoup,6,buglocator,Yes,25,5.903271675109863,2025-11-18T17:43:27.444851,2025-12-02T15:34:25.387814,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Jsoup,6,locus,Yes,2,8.938781023025513,2025-11-22T11:46:06.097339,2025-12-07T16:19:43.253541,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,1
Jsoup,7,boostnsift,Yes,3,5.344034433364868,2025-11-18T17:44:52.657704,2025-12-07T16:19:43.253541,0.91,0.91,22722641.0,22722641,134861973094,486,0,0,0,0,1,1
Jsoup,7,buglocator,Yes,7,5.659963369369507,2025-11-18T17:44:53.632586,2025-12-02T15:34:25.387814,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
Jsoup,7,locus,Yes,15,9.183336734771729,2025-11-22T11:47:17.710174,2025-12-07T16:19:43.253541,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Jsoup,8,boostnsift,Yes,22,5.728045701980591,2025-11-18T17:46:20.579633,2025-12-07T16:19:43.253541,3.19,3.19,22743613.0,22743613,134861973094,486,0,0,N/A,0,0,0
Jsoup,8,buglocator,Yes,18,5.092134475708008,2025-11-18T17:46:21.605778,2025-12-02T15:34:25.387814,461.51,461.51,324114841.0,324114841,134861973094,266,0,0,0,0,0,0
Jsoup,8,locus,Yes,11,9.021613121032715,2025-11-22T11:48:25.373365,2025-12-07T16:19:43.253541,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Jsoup,9,boostnsift,No,N/A,5.5297369956970215,2025-11-18T17:47:48.342005,2025-12-07T16:19:43.253541,2.15,2.15,22953328.0,22953328,134861973094,486,0,0,0,0,0,0
Jsoup,9,buglocator,Yes,12,5.366114377975464,2025-11-18T17:47:50.340669,2025-12-02T15:34:25.387814,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Jsoup,9,locus,Yes,8,9.243951320648193,2025-11-22T11:49:31.909892,2025-12-07T16:19:43.253541,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,1
Jsoup,10,boostnsift,No,N/A,6.018331527709961,2025-11-18T17:36:47.847506,2025-12-07T16:19:43.253541,1.19,1.19,23949475.0,23949475,134861973094,646,0,0,0,0,0,0
Jsoup,10,buglocator,Yes,2,6.450430631637573,2025-11-18T17:36:48.805479,2025-12-02T15:34:25.387814,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1
Jsoup,10,locus,Yes,4,10.881614923477173,2025-11-22T11:42:08.110013,2025-12-07T16:19:43.253541,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,1
Jsoup,11,boostnsift,Yes,17,5.389300584793091,2025-11-18T17:36:53.621405,2025-12-07T16:19:43.253541,0.89,0.89,22743613.0,22743613,134861973094,486,0,0,N/A,0,0,0
Jsoup,11,buglocator,Yes,3,5.6144866943359375,2025-11-18T17:36:54.432125,2025-12-02T15:34:25.387814,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1
Jsoup,11,locus,Yes,4,8.879492044448853,2025-11-22T11:42:14.956960,2025-12-07T16:19:43.253541,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,1
Jsoup,12,boostnsift,Yes,25,7.4374682903289795,2025-11-18T17:37:01.416590,2025-12-07T16:19:43.253541,358.18,358.18,286785536.0,286785536,134861973094,536,0,0,N/A,0,0,0
Jsoup,12,buglocator,Yes,3,5.980642318725586,2025-11-18T17:37:00.433363,2025-12-02T15:34:25.387814,416.28,416.28,322751692.0,322751692,134861973094,486,0,0,0,0,1,1
Jsoup,12,locus,Yes,2,8.942578554153442,2025-11-22T11:42:17.061641,2025-12-07T16:19:43.253541,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,1
Jsoup,13,boostnsift,No,N/A,9.326699495315552,2025-11-18T17:37:10.088709,2025-12-07T16:19:43.253541,1.535,3.07,11361320.5,22722641,134861973094,486,0,0,0,0,0,0
Jsoup,13,buglocator,Yes,2,6.131141662597656,2025-11-18T17:37:07.557138,2025-12-02T15:34:25.387814,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1
Jsoup,13,locus,Yes,6,9.094858646392822,2025-11-22T11:42:24.057851,2025-12-07T16:19:43.253541,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,1
Jsoup,14,boostnsift,Yes,1,9.690526247024536,2025-11-18T17:37:17.617135,2025-12-07T16:19:43.253541,1.185,2.37,11539578.5,23079157,134861973094,486,0,0,0,1,1,1
Jsoup,14,buglocator,Yes,64,5.516379356384277,2025-11-18T17:37:15.621408,2025-12-02T15:34:25.387814,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Jsoup,14,locus,No,N/A,9.101394653320312,2025-11-22T11:42:26.169753,2025-12-07T16:19:43.253541,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Jsoup,15,boostnsift,No,N/A,9.58487606048584,2025-11-18T17:37:25.579402,2025-12-07T16:19:43.253541,1.54,3.08,11377049.5,22754099,134861973094,486,0,0,0,0,0,0
Jsoup,15,buglocator,Yes,61,5.98320746421814,2025-11-18T17:37:23.623578,2025-12-02T15:34:25.387814,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Jsoup,15,locus,No,N/A,8.918868780136108,2025-11-22T11:42:32.982283,2025-12-07T16:19:43.253541,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Jsoup,16,boostnsift,Yes,29,6.886544704437256,2025-11-18T17:37:30.877396,2025-12-07T16:19:43.253541,4.89,4.89,27703377.0,27703377,134861973094,646,0,0,0,0,0,0
Jsoup,16,buglocator,Yes,1,6.139446020126343,2025-11-18T17:37:31.721915,2025-12-02T15:34:25.387814,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1
Jsoup,16,locus,Yes,1,8.815293550491333,2025-11-22T11:42:34.993552,2025-12-07T16:19:43.253541,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
Jsoup,17,boostnsift,Yes,60,5.597461938858032,2025-11-18T17:37:36.850434,2025-12-07T16:19:43.253541,6.06,6.06,26256343.0,26256343,134861973094,486,0,0,0,0,0,0
