tool_a,tool_b,feature,n_a,n_b,median_a,median_b,mean_a,mean_b,median_diff,u_statistic,p_value,cliffs_delta,effect_size,pval_adj,reject,significant,abs_delta,practically_significant
buglocator,flexfl,causal_reasoning_quality,19,147,5.0,4.0,3.9473684210526314,3.238095238095238,1.0,1750.5,0.060332311009254215,0.2534908700322234,small,1.0,False,False,0.2534908700322234,False
buglocator,flexfl,expected_observed_alignment,19,147,5.0,5.0,4.157894736842105,3.578231292517007,0.0,1685.5,0.09749052230496172,0.20694593626924454,small,1.0,False,False,0.20694593626924454,False
buglocator,flexfl,embedding_mean,19,147,0.0001734042743919,-9.859853889793158e-05,0.00010180523359418919,-6.732473525129813e-05,0.00027200281328983156,1677.0,0.15554211489309597,0.200859291084855,small,1.0,False,False,0.200859291084855,False
buglocator,flexfl,completeness_score,19,147,2.0,2.0,2.5789473684210527,2.272108843537415,0.0,1654.5,0.1647274981748721,0.18474758324382384,small,1.0,False,False,0.18474758324382384,False
buglocator,flexfl,ambiguity,19,147,0.0,0.0,0.0021475940680722684,0.003995150579297289,0.0,1140.0,0.14015755649772135,-0.1836734693877551,small,1.0,False,False,0.1836734693877551,False
buglocator,flexfl,clarity,19,147,5.0,4.0,4.0,3.496598639455782,1.0,1637.0,0.18840295059628398,0.17221625492302184,small,1.0,False,False,0.17221625492302184,False
buglocator,flexfl,num_EB,19,147,1.0,0.0,0.8421052631578947,0.6326530612244898,1.0,1619.5,0.2074182162571564,0.15968492660221983,small,1.0,False,False,0.15968492660221983,False
buglocator,flexfl,description_chars,19,147,1401.0,1628.0,1692.7894736842106,2172.326530612245,-227.0,1186.5,0.28794723213211815,-0.15037593984962405,small,1.0,False,False,0.15037593984962405,False
buglocator,flexfl,embedding_max,19,147,0.1490513235330581,0.1510059386491775,0.14847464232068308,0.15403906565134218,-0.0019546151161193848,1199.0,0.317683330775257,-0.1414249910490512,negligible,1.0,False,False,0.1414249910490512,False
buglocator,flexfl,embedding_pos_neg_ratio,19,147,1.0157068062827226,0.9948186528497408,1.0088262422737095,0.995040004593619,0.020888153432981782,1582.0,0.347302194582472,0.13283208020050125,negligible,1.0,False,False,0.13283208020050125,False
buglocator,flexfl,semantic_entropy,19,147,1.7719297409057615,1.6530886888504028,1.6014793609318196,1.480999737775248,0.11884105205535866,1569.0,0.3829720748375923,0.12352309344790548,negligible,1.0,False,False,0.12352309344790548,False
buglocator,flexfl,embedding_min,19,147,-0.1398036181926727,-0.1503144204616546,-0.148695501449861,-0.1516458962847586,0.010510802268981906,1550.0,0.4377184873674069,0.10991765127103473,negligible,1.0,False,False,0.10991765127103473,False
buglocator,flexfl,exc_cat_index_error,19,147,0.0,0.0,0.3684210526315789,0.12244897959183673,0.0,1542.0,0.0880342119413414,0.1041890440386681,negligible,1.0,False,False,0.1041890440386681,False
buglocator,flexfl,has_exc_index_error,19,147,0.0,0.0,0.15789473684210525,0.05442176870748299,0.0,1541.0,0.09002574994087238,0.10347296813462227,negligible,1.0,False,False,0.10347296813462227,False
buglocator,flexfl,technical_depth,19,147,4.0,4.0,3.3157894736842106,2.9523809523809526,0.0,1540.5,0.4522706621934949,0.10311493018259936,negligible,1.0,False,False,0.10311493018259936,False
buglocator,flexfl,exc_cat_io_error,19,147,0.0,0.0,0.2631578947368421,0.10204081632653061,0.0,1535.0,0.11890526952020336,0.0991765127103473,negligible,1.0,False,False,0.0991765127103473,False
buglocator,flexfl,repair_difficulty,19,147,3.0,3.0,3.1052631578947367,2.9659863945578233,0.0,1532.0,0.46894750231032245,0.09702828499820981,negligible,1.0,False,False,0.09702828499820981,False
buglocator,flexfl,has_exc_io_error,19,147,0.0,0.0,0.15789473684210525,0.061224489795918366,0.0,1531.5,0.1282786575096147,0.0966702470461869,negligible,1.0,False,False,0.0966702470461869,False
buglocator,flexfl,num_exception_types,19,147,0.0,0.0,0.7894736842105263,0.4897959183673469,0.0,1528.5,0.4180230210151873,0.09452201933404941,negligible,1.0,False,False,0.09452201933404941,False
buglocator,flexfl,redundancy,19,147,0.2666225731372833,0.2662396430969238,0.2901020591196261,0.2680066419499261,0.0003829300403595526,1527.0,0.5096407304733513,0.09344790547798067,negligible,1.0,False,False,0.09344790547798067,False
buglocator,flexfl,num_OB,19,147,4.0,4.0,5.578947368421052,5.149659863945578,0.0,1524.5,0.5145525393010717,0.0916577157178661,negligible,1.0,False,False,0.0916577157178661,False
buglocator,flexfl,n_tokens,19,147,207.0,211.0,221.21052631578948,271.0816326530612,-4.0,1270.5,0.5243950112375111,-0.09022556390977443,negligible,1.0,False,False,0.09022556390977443,False
buglocator,flexfl,n_words,19,147,109.0,114.0,123.10526315789474,153.40816326530611,-5.0,1270.5,0.5243833127764883,-0.09022556390977443,negligible,1.0,False,False,0.09022556390977443,False
buglocator,flexfl,num_versions,19,147,1.0,1.0,1.5789473684210527,3.251700680272109,0.0,1270.5,0.5086955137063796,-0.09022556390977443,negligible,1.0,False,False,0.09022556390977443,False
buglocator,flexfl,gunning_fog,19,144,10.47,11.15,11.089473684210526,11.528611111111111,-0.6799999999999997,1246.5,0.5314800900993027,-0.08881578947368421,negligible,1.0,False,False,0.08881578947368421,False
buglocator,flexfl,n_sentences,19,147,8.0,7.0,9.842105263157896,11.523809523809524,1.0,1517.5,0.5399961935138262,0.08664518438954529,negligible,1.0,False,False,0.08664518438954529,False
buglocator,flexfl,num_semantic_sentences,19,147,8.0,7.0,9.842105263157896,11.523809523809524,1.0,1517.5,0.5399961935138262,0.08664518438954529,negligible,1.0,False,False,0.08664518438954529,False
buglocator,flexfl,coleman_liau_index,19,144,36.11,27.015,32.608421052631584,33.28861111111111,9.094999999999999,1473.0,0.5889097046790204,0.07675438596491228,negligible,1.0,False,False,0.07675438596491228,False
buglocator,flexfl,exception_avg_frame_package_depth,19,147,0.0,0.0,0.9553429027113236,0.5944708758056721,0.0,1503.0,0.38754053326725846,0.07626208378088077,negligible,1.0,False,False,0.07626208378088077,False
buglocator,flexfl,embedding_norm,19,147,1.0,1.0,1.0000000094112598,1.0000000004054739,0.0,1501.5,0.31349793983247987,0.07518796992481203,negligible,1.0,False,False,0.07518796992481203,False
buglocator,flexfl,stacktrace_depth,19,147,0.0,0.0,1.105263157894737,1.6122448979591837,0.0,1501.0,0.3706680431668615,0.07482993197278912,negligible,1.0,False,False,0.07482993197278912,False
buglocator,flexfl,embedding_cluster_size,19,147,115.0,90.0,99.15789473684211,104.24489795918367,25.0,1294.5,0.6007521401684736,-0.07303974221267455,negligible,1.0,False,False,0.07303974221267455,False
buglocator,flexfl,num_modal_verbs,19,147,0.0,0.0,0.7368421052631579,1.08843537414966,0.0,1314.0,0.6401991876454254,-0.05907626208378088,negligible,1.0,False,False,0.05907626208378088,False
buglocator,flexfl,num_temporal_markers,19,147,0.0,0.0,0.8947368421052632,0.47619047619047616,0.0,1472.5,0.6331529929345889,0.05442176870748299,negligible,1.0,False,False,0.05442176870748299,False
buglocator,flexfl,temporal_density,19,147,0.0,0.0,0.09458428680396642,0.06333133374602136,0.0,1469.0,0.6505198877347612,0.05191550304332259,negligible,1.0,False,False,0.05191550304332259,False
buglocator,flexfl,num_browser_mentions,19,147,0.0,0.0,0.10526315789473684,0.1564625850340136,0.0,1333.5,0.6029370391115861,-0.045112781954887216,negligible,1.0,False,False,0.045112781954887216,False
buglocator,flexfl,semantic_spread_pc1,19,147,0.4251098930835724,0.4304605722427368,0.42968571186065674,0.4300972590235626,-0.005350679159164429,1334.0,0.7531551765073821,-0.044754744002864305,negligible,1.0,False,False,0.044754744002864305,False
buglocator,flexfl,actionability,19,147,4.0,4.0,3.6842105263157894,3.360544217687075,0.0,1457.0,0.7485608764507186,0.04332259219477264,negligible,1.0,False,False,0.04332259219477264,False
buglocator,flexfl,embedding_cluster_distance,19,147,0.51106396221888,0.5199819915457208,0.5221449127367234,0.513369334624601,-0.008918029326840826,1338.0,0.7686130913300067,-0.04189044038668099,negligible,1.0,False,False,0.04189044038668099,False
buglocator,flexfl,embedding_cluster_separation,19,147,0.7190186573283184,0.7297948540788458,0.7258327602119983,0.7309951230547707,-0.010776196750527434,1338.0,0.7686130913300067,-0.04189044038668099,negligible,1.0,False,False,0.04189044038668099,False
buglocator,flexfl,semantic_spread_pc2,19,147,0.3572726547718048,0.3625914454460144,0.34040903103979064,0.3400761762849329,-0.005318790674209595,1345.0,0.7958769288653179,-0.036877909058360185,negligible,1.0,False,False,0.036877909058360185,False
buglocator,flexfl,summary_chars,19,147,12.0,12.0,37.26315789473684,38.87755102040816,0.0,1446.0,0.7757301380673769,0.03544575725026853,negligible,1.0,False,False,0.03544575725026853,False
buglocator,flexfl,modal_density,19,147,0.0,0.0,0.09615978351676292,0.10579110536687389,0.0,1348.5,0.7876805376899353,-0.034371643394199784,negligible,1.0,False,False,0.034371643394199784,False
buglocator,flexfl,automated_readability_index,19,144,31.2,26.4,30.49473684210527,32.88333333333333,4.800000000000001,1408.0,0.8381356008251619,0.029239766081871343,negligible,1.0,False,False,0.029239766081871343,False
buglocator,flexfl,flesch_reading_ease,19,144,-3.42,8.754999999999999,-3.962631578947368,-6.7027777777777775,-12.174999999999999,1332.0,0.8543376323053582,-0.02631578947368421,negligible,1.0,False,False,0.02631578947368421,False
buglocator,flexfl,causal_density,19,147,0.2222222222222222,0.25,0.2504533181878719,0.2782284442801395,-0.02777777777777779,1360.5,0.855792354907372,-0.02577873254564984,negligible,1.0,False,False,0.02577873254564984,False
buglocator,flexfl,semantic_coherence,19,147,0.2666225731372833,0.2705850899219513,0.2901020591196261,0.302020247392103,-0.003962516784667969,1432.0,0.8590920877632122,0.025420694593626926,negligible,1.0,False,False,0.025420694593626926,False
buglocator,flexfl,specificity,19,147,4.0,4.0,3.6315789473684212,3.3537414965986394,0.0,1425.5,0.8788958144801566,0.020766201217329038,negligible,1.0,False,False,0.020766201217329038,False
buglocator,flexfl,embedding_std,19,147,0.0510298795998096,0.0510298423469066,0.05102888357482453,0.051028137785845015,3.725290299849693e-08,1425.0,0.8870611099979859,0.02040816326530612,negligible,1.0,False,False,0.02040816326530612,False
buglocator,flexfl,num_caused_by,19,147,0.0,0.0,0.10526315789473684,0.05442176870748299,0.0,1423.5,0.6776400550022965,0.01933404940923738,negligible,1.0,False,False,0.01933404940923738,False
buglocator,flexfl,description_length,19,147,1267.0,1331.0,1326.3157894736842,1610.3061224489795,-64.0,1371.0,0.898534408088446,-0.018259935553168637,negligible,1.0,False,False,0.018259935553168637,False
buglocator,flexfl,num_env_mentions,19,147,0.0,0.0,0.05263157894736842,0.08843537414965986,0.0,1374.5,0.8002196482085164,-0.015753669889008236,negligible,1.0,False,False,0.015753669889008236,False
buglocator,flexfl,exc_cat_type_error,19,147,0.0,0.0,0.0,0.04081632653061224,0.0,1377.5,0.6195061423387492,-0.013605442176870748,negligible,1.0,False,False,0.013605442176870748,False
buglocator,flexfl,has_exc_type_error,19,147,0.0,0.0,0.0,0.013605442176870748,0.0,1377.5,0.6194997098924842,-0.013605442176870748,negligible,1.0,False,False,0.013605442176870748,False
buglocator,flexfl,embedding_sparsity,19,147,0.1614583333333333,0.1614583333333333,0.1624177631578947,0.161954365079365,0.0,1415.5,0.9251642242590807,0.013605442176870748,negligible,1.0,False,False,0.013605442176870748,False
buglocator,flexfl,has_exc_runtime_error,19,147,0.0,0.0,0.05263157894736842,0.04081632653061224,0.0,1413.0,0.8156559846256174,0.011815252416756176,negligible,1.0,False,False,0.011815252416756176,False
buglocator,flexfl,exc_cat_runtime_error,19,147,0.0,0.0,0.05263157894736842,0.07482993197278912,0.0,1411.5,0.8327094837768722,0.010741138560687433,negligible,1.0,False,False,0.010741138560687433,False
buglocator,flexfl,exception_user_frame_ratio,19,147,0.0,0.0,0.10526315789473684,0.07273609896762605,0.0,1409.0,0.907879936401375,0.00895094880057286,negligible,1.0,False,False,0.00895094880057286,False
buglocator,flexfl,exc_cat_assertion,19,147,0.0,0.0,0.0,0.006802721088435374,0.0,1387.0,0.7334092208672189,-0.006802721088435374,negligible,1.0,False,False,0.006802721088435374,False
buglocator,flexfl,has_exc_assertion,19,147,0.0,0.0,0.0,0.006802721088435374,0.0,1387.0,0.7334092208672189,-0.006802721088435374,negligible,1.0,False,False,0.006802721088435374,False
buglocator,flexfl,num_causal_markers,19,147,2.0,2.0,1.894736842105263,2.7891156462585034,0.0,1404.0,0.971114250172898,0.0053705692803437165,negligible,1.0,False,False,0.0053705692803437165,False
buglocator,flexfl,num_negative_modals,19,147,0.0,0.0,0.15789473684210525,0.36054421768707484,0.0,1389.0,0.9475346294457215,-0.0053705692803437165,negligible,1.0,False,False,0.0053705692803437165,False
buglocator,flexfl,has_exc_null_pointer,19,147,0.0,0.0,0.05263157894736842,0.047619047619047616,0.0,1403.5,0.9291817877712866,0.005012531328320802,negligible,1.0,False,False,0.005012531328320802,False
buglocator,flexfl,exc_cat_null_pointer,19,147,0.0,0.0,0.05263157894736842,0.08843537414965986,0.0,1401.5,0.9509547524493844,0.0035803795202291443,negligible,1.0,False,False,0.0035803795202291443,False
buglocator,flexfl,num_os_mentions,19,147,0.0,0.0,0.10526315789473684,0.11564625850340136,0.0,1399.0,0.9845972322941563,0.0017901897601145722,negligible,1.0,False,False,0.0017901897601145722,False
buglocator,flexfl,exception_user_frames,19,147,0.0,0.0,0.7368421052631579,1.1156462585034013,0.0,1398.0,0.9923083357555615,0.0010741138560687433,negligible,1.0,False,False,0.0010741138560687433,False
buglocator,flexfl,exception_library_frames,19,147,0.0,0.0,0.5789473684210527,1.510204081632653,0.0,1397.5,0.9961540229726003,0.0007160759040458289,negligible,1.0,False,False,0.0007160759040458289,False
buglocator,flexfl,exc_cat_concurrency,19,147,0.0,0.0,0.0,0.0,0.0,1396.5,1.0,0.0,negligible,1.0,False,False,0.0,False
buglocator,flexfl,exc_cat_arithmetic,19,147,0.0,0.0,0.0,0.0,0.0,1396.5,1.0,0.0,negligible,1.0,False,False,0.0,False
buglocator,flexfl,has_exc_concurrency,19,147,0.0,0.0,0.0,0.0,0.0,1396.5,1.0,0.0,negligible,1.0,False,False,0.0,False
buglocator,flexfl,has_exc_arithmetic,19,147,0.0,0.0,0.0,0.0,0.0,1396.5,1.0,0.0,negligible,1.0,False,False,0.0,False
buglocator,flexfl,behavior_verb_count,19,147,0.0,0.0,0.0,0.0,0.0,1396.5,1.0,0.0,negligible,1.0,False,False,0.0,False
buglocator,flexfl,behavior_verb_density,19,147,0.0,0.0,0.0,0.0,0.0,1396.5,1.0,0.0,negligible,1.0,False,False,0.0,False
buglocator,flexfl,num_S2R,19,147,0.0,0.0,0.0,0.0,0.0,1396.5,1.0,0.0,negligible,1.0,False,False,0.0,False
buglocator,locus,embedding_pos_neg_ratio,19,13,1.0157068062827226,0.9743589743589745,1.0088262422737095,0.9760637102543492,0.041347831923748135,177.5,0.03931248779190099,0.43724696356275305,medium,1.0,False,False,0.43724696356275305,False
buglocator,locus,n_sentences,19,13,8.0,11.0,9.842105263157896,17.76923076923077,-3.0,76.5,0.07288162046762348,-0.3805668016194332,medium,1.0,False,False,0.3805668016194332,False
buglocator,locus,num_semantic_sentences,19,13,8.0,11.0,9.842105263157896,17.76923076923077,-3.0,76.5,0.07288162046762348,-0.3805668016194332,medium,1.0,False,False,0.3805668016194332,False
buglocator,locus,embedding_mean,19,13,0.0001734042743919,-0.0003579974581953,0.00010180523359418919,-0.00026236995360634773,0.0005314017325872,170.0,0.07756492794815108,0.3765182186234818,medium,1.0,False,False,0.3765182186234818,False
buglocator,locus,description_chars,19,13,1401.0,2215.0,1692.7894736842106,2924.230769230769,-814.0,81.5,0.11127764279290447,-0.340080971659919,medium,1.0,False,False,0.340080971659919,False
buglocator,locus,embedding_cluster_size,19,13,115.0,115.0,99.15789473684211,120.46153846153847,0.0,85.5,0.13053881629089212,-0.3076923076923077,small,1.0,False,False,0.3076923076923077,False
buglocator,locus,exception_user_frames,19,13,0.0,0.0,0.7368421052631579,4.615384615384615,0.0,87.0,0.056239510152699866,-0.29554655870445345,small,1.0,False,False,0.29554655870445345,False
buglocator,locus,expected_observed_alignment,19,13,5.0,4.0,4.157894736842105,3.5384615384615383,1.0,159.5,0.1054039859196788,0.291497975708502,small,1.0,False,False,0.291497975708502,False
buglocator,locus,num_browser_mentions,19,13,0.0,0.0,0.10526315789473684,0.38461538461538464,0.0,89.0,0.06859900919044953,-0.2793522267206478,small,1.0,False,False,0.2793522267206478,False
buglocator,locus,embedding_std,19,13,0.0510298795998096,0.0510287135839462,0.05102888357482453,0.05102757651072277,1.1660158633977624e-06,157.0,0.20544481944306114,0.27125506072874495,small,1.0,False,False,0.27125506072874495,False
buglocator,locus,exception_user_frame_ratio,19,13,0.0,0.0,0.10526315789473684,0.27057635003777813,0.0,92.0,0.09957909016872211,-0.2550607287449393,small,1.0,False,False,0.2550607287449393,False
buglocator,locus,causal_density,19,13,0.2222222222222222,0.0444444444444444,0.2504533181878719,0.1696063171234796,0.1777777777777778,154.5,0.2392931203423101,0.25101214574898784,small,1.0,False,False,0.25101214574898784,False
buglocator,locus,n_words,19,13,109.0,128.0,123.10526315789474,167.3846153846154,-19.0,93.0,0.24952469169602365,-0.24696356275303644,small,1.0,False,False,0.24696356275303644,False
buglocator,locus,actionability,19,13,4.0,4.0,3.6842105263157894,3.076923076923077,0.0,153.5,0.23517068175893951,0.242914979757085,small,1.0,False,False,0.242914979757085,False
buglocator,locus,exception_library_frames,19,13,0.0,0.0,0.5789473684210527,4.384615384615385,0.0,94.5,0.10837500566945896,-0.23481781376518218,small,1.0,False,False,0.23481781376518218,False
buglocator,locus,n_tokens,19,13,207.0,199.0,221.21052631578948,349.6923076923077,8.0,97.5,0.32768922001767187,-0.21052631578947367,small,1.0,False,False,0.21052631578947367,False
buglocator,locus,summary_chars,19,13,12.0,12.0,37.26315789473684,23.153846153846153,0.0,149.0,0.25753077446828954,0.20647773279352227,small,1.0,False,False,0.20647773279352227,False
buglocator,locus,embedding_max,19,13,0.1490513235330581,0.1618478894233703,0.14847464232068308,0.15560508691347558,-0.012796565890312195,98.0,0.3374401847412889,-0.20647773279352227,small,1.0,False,False,0.20647773279352227,False
buglocator,locus,flesch_reading_ease,19,13,-3.42,-9.65,-3.962631578947368,-32.57846153846154,6.23,146.5,0.38792254719205455,0.1862348178137652,small,1.0,False,False,0.1862348178137652,False
buglocator,locus,num_negative_modals,19,13,0.0,0.0,0.15789473684210525,0.3076923076923077,0.0,100.5,0.20317083808168468,-0.1862348178137652,small,1.0,False,False,0.1862348178137652,False
buglocator,locus,semantic_spread_pc2,19,13,0.3572726547718048,0.3369999229907989,0.34040903103979064,0.33394180008998287,0.020272731781005915,145.0,0.4203825652786761,0.17408906882591094,small,1.0,False,False,0.17408906882591094,False
buglocator,locus,causal_reasoning_quality,19,13,5.0,4.0,3.9473684210526314,3.3846153846153846,1.0,144.5,0.3889510267093419,0.1700404858299595,small,1.0,False,False,0.1700404858299595,False
buglocator,locus,embedding_min,19,13,-0.1398036181926727,-0.1571944206953048,-0.148695501449861,-0.15638114626591018,0.017390802502632086,144.0,0.4428506841511466,0.1659919028340081,small,1.0,False,False,0.1659919028340081,False
buglocator,locus,description_length,19,13,1267.0,1485.0,1326.3157894736842,2470.846153846154,-218.0,103.0,0.44133987360928184,-0.1659919028340081,small,1.0,False,False,0.1659919028340081,False
buglocator,locus,automated_readability_index,19,13,31.2,33.8,30.49473684210527,38.338461538461544,-2.599999999999998,103.5,0.45429600935290804,-0.16194331983805668,small,1.0,False,False,0.16194331983805668,False
buglocator,locus,exc_cat_index_error,19,13,0.0,0.0,0.3684210526315789,0.0,0.0,143.0,0.14937394860193193,0.15789473684210525,small,1.0,False,False,0.15789473684210525,False
buglocator,locus,has_exc_index_error,19,13,0.0,0.0,0.15789473684210525,0.0,0.0,143.0,0.14893623341539564,0.15789473684210525,small,1.0,False,False,0.15789473684210525,False
buglocator,locus,ambiguity,19,13,0.0,0.0,0.0021475940680722684,0.0034374261337982,0.0,105.0,0.38386029662166377,-0.14979757085020243,small,1.0,False,False,0.14979757085020243,False
buglocator,locus,num_modal_verbs,19,13,0.0,1.0,0.7368421052631579,0.6923076923076923,-1.0,106.0,0.47088369023107013,-0.1417004048582996,negligible,1.0,False,False,0.1417004048582996,False
