metric,project,mean,std,n
rank_boostnsift,Csv,1.5,0.816496580927726,16
rank_boostnsift,Math,8.216981132075471,25.234520844038467,106
rank_boostnsift,Closure,82.94767441860465,110.11420252128798,172
rank_boostnsift,Compress,4.9787234042553195,6.562374178345383,47
rank_boostnsift,Cli,5.947368421052632,9.001343348457143,38
rank_boostnsift,Jsoup,13.179487179487179,18.89048656997704,78
rank_boostnsift,Time,23.46153846153846,42.41719535210292,26
rank_boostnsift,JacksonDatabind,41.554545454545455,74.03502597347023,110
rank_boostnsift,Lang,3.639344262295082,5.495552101124587,61
rank_boostnsift,Mockito,31.066666666666666,35.60214380733498,30
rank_boostnsift,JacksonCore,6.615384615384615,6.119326257534718,26
rank_boostnsift,Chart,1.625,1.407885953173359,8
rank_boostnsift,Collections,9.5,11.789826122551595,4
