feature,pearson_r,pearson_p,spearman_rho,spearman_p,pearson_p_corrected,pearson_p_significant,spearman_p_corrected,spearman_p_significant,abs_pearson,abs_spearman
num_temporal_markers,0.1510903136844271,1.1619097210357296e-05,0.17767589478918216,2.3703432261597007e-07,0.00033695381910036156,True,5.451789420167311e-06,True,0.1510903136844271,0.17767589478918216
num_exception_types,0.12132264999349879,0.0004422140415779949,0.17374106924927446,4.385139160398767e-07,0.010688124292746548,True,9.647306152877288e-06,True,0.12132264999349879,0.17374106924927446
modal_density,0.03829396665935844,0.26902777273020967,0.1705384107315859,7.162191414213983e-07,1.0,False,1.5040601969849363e-05,True,0.03829396665935844,0.1705384107315859
num_modal_verbs,0.041260155708252456,0.2336576254171062,0.16733868510535685,1.1587571079523752e-06,1.0,False,2.3175142159047505e-05,True,0.041260155708252456,0.16733868510535685
ambiguity,0.06454876240332885,0.06226904980175958,0.13334050667627756,0.00011129262367651632,0.9963047968281533,False,0.00211455984985381,True,0.06454876240332885,0.13334050667627756
has_code,0.12162989586248257,0.0004275249717098619,0.13190787438951507,0.00013201792662193566,0.010688124292746548,True,0.002376322679194842,True,0.12162989586248257,0.13190787438951507
has_steps,0.10602720393338208,0.002155957107520937,0.11507470249439429,0.0008643145738833825,0.04743105636546061,True,0.014693347756017503,True,0.10602720393338208,0.11507470249439429
num_os_mentions,0.11412618135102194,0.000954208098012723,0.11201173200979447,0.0011865607215645222,0.021946786254292628,True,0.018984971545032356,True,0.11412618135102194,0.11201173200979447
has_os_info,0.10182283175887114,0.0032236960386510024,0.11092523194419339,0.0013252880874529982,0.06769761681167105,False,0.019879321311794974,True,0.10182283175887114,0.11092523194419339
stacktrace_depth,0.0033450920224654297,0.9231103911325163,0.09456690106968249,0.006244154094031061,1.0,False,0.08741815731643485,False,0.0033450920224654297,0.09456690106968249
has_enumeration,0.10008296375810069,0.0037919102932974947,0.08598179609662833,0.01293900977077047,0.07583820586594989,False,0.1682071270200161,False,0.10008296375810069,0.08598179609662833
num_caused_by,0.04973358256686375,0.15104344232739383,0.08070699053004407,0.01967698071885672,1.0,False,0.23612376862628065,False,0.04973358256686375,0.08070699053004407
clarity_score,-0.07110382735428501,0.03995974756364656,-0.0713552702208733,0.03926037667439567,0.719275456145638,False,0.4318641434183524,False,0.07110382735428501,0.0713552702208733
num_negative_modals,0.0014723978854657548,0.9661134761468949,0.05632704658325849,0.10384330216015701,1.0,False,1.0,False,0.0014723978854657548,0.05632704658325849
num_browser_mentions,0.02859315669388872,0.40927547141246806,0.040778189597735416,0.23916919462598382,1.0,False,1.0,False,0.02859315669388872,0.040778189597735416
redundancy,0.03128085687353427,0.36664800360118854,-0.02845995974861174,0.41146183977451345,1.0,False,1.0,False,0.03128085687353427,0.02845995974861174
has_patch,0.01686001681056072,0.6266141434578489,0.021481558421193113,0.5353363828387093,1.0,False,1.0,False,0.01686001681056072,0.021481558421193113
potential_vague_steps,-0.013049517831442235,0.7065193511029564,-0.015876241514308834,0.6468753417384417,1.0,False,1.0,False,0.013049517831442235,0.015876241514308834
num_env_mentions,-0.0015651152682141685,0.9639810351292973,0.014485602164503085,0.6759645556875333,1.0,False,1.0,False,0.0015651152682141685,0.014485602164503085
avg_step_length,-0.022129469207082218,0.5230952090547384,-0.00813302320240731,0.814467482546877,1.0,False,1.0,False,0.022129469207082218,0.00813302320240731
num_steps_x,-0.0038625789683947795,0.911261328033919,-0.007920257835904849,0.8192362520940588,1.0,False,1.0,False,0.0038625789683947795,0.007920257835904849
completeness_score,0.005052073413247092,0.8841039051921217,0.002118474809675563,0.9512599865839233,1.0,False,1.0,False,0.005052073413247092,0.002118474809675563
steps_with_objects,0.005052073413247092,0.8841039051921217,0.002118474809675563,0.9512599865839233,1.0,False,1.0,False,0.005052073413247092,0.002118474809675563
