feature,none_count,all_count,none_median,all_median,none_mean,all_mean,none_std,all_std,u_statistic,p_value,cliffs_delta,effect_size,median_diff,mean_diff,pval_adj,reject,significant,abs_delta
num_EB,346,69,-0.673136533919824,-0.673136533919824,-0.020544953509362824,0.0993221197600339,1.0488032799222762,1.2935576273377887,11538.5,0.6243633084981676,-0.03338359721873167,negligible,0.0,0.11986707326939672,1.0,False,False,0.03338359721873167
num_OB,346,69,-0.0777818550633016,-0.2886514946017978,0.06482940404654847,-0.09306226372551149,1.0290299171912252,0.5923797190984302,12273.5,0.7105903208347195,0.028189662394236408,negligible,-0.2108696395384962,-0.15789166777205996,1.0,False,False,0.028189662394236408
has_EB,346,69,-0.9249624617007738,-0.9249624617007738,-0.04367550397190792,0.005396920066388927,0.9970683160380289,1.0077358373270784,11645.0,0.7096068267151575,-0.024461757560526095,negligible,0.0,0.04907242403829685,1.0,False,False,0.024461757560526095
missing_EB,346,69,0.9249624617007736,0.9249624617007736,0.04367550397190779,-0.005396920066389106,0.9970683160380288,1.0077358373270784,12229.0,0.7096068267151575,0.024461757560526095,negligible,0.0,-0.0490724240382969,1.0,False,False,0.024461757560526095
num_caused_by,346,69,-0.1602391524099254,-0.1602391524099254,0.054596576977177624,-0.10637454199837637,1.1811543031776106,0.4474330582113585,12215.5,0.328551132023746,0.023330820139063416,negligible,0.0,-0.160971118975554,1.0,False,False,0.023330820139063416
has_patch,346,69,-0.1828000043330371,-0.1828000043330371,-0.05208880448881874,0.06299388233054744,0.8508532453945976,1.1613216070923378,11694.0,0.3380329702392326,-0.020356873586328223,negligible,0.0,0.11508268681936618,1.0,False,False,0.020356873586328223
redundancy,346,69,0.07653536443357695,-0.0501962235917133,-0.0017447390267189026,0.08362788822562041,1.128849992937303,0.7694071505180886,12162.0,0.8050574653096707,0.018848957024377985,negligible,-0.12673158802529025,0.08537262725233931,1.0,False,False,0.018848957024377985
num_modal_verbs,346,69,-0.32754495581036513,-0.0804807840834863,0.07661204187002044,-0.05183566272384819,1.1420793820329218,0.7807524830089767,12132.5,0.8174819497344387,0.016377649325626204,negligible,0.24706417172687883,-0.12844770459386862,1.0,False,False,0.016377649325626204
stacktrace_depth,346,69,-0.2020454871191189,-0.2020454871191189,0.00596536166694439,-0.15998625752586387,1.1710728943352615,0.20147153469279477,12063.5,0.7459550626954233,0.010597302504816955,negligible,0.0,-0.16595161919280826,1.0,False,False,0.010597302504816955
modal_density,346,69,-0.4058020814593196,-0.3053087582291381,0.09460009826200966,-0.04769694023259002,1.2650959416027334,0.6615699592864482,11821.0,0.8921884763880639,-0.009717684510345983,negligible,0.10049332323018151,-0.14229703849459968,1.0,False,False,0.009717684510345983
has_os_info,346,69,-0.3751138260763807,-0.3751138260763807,-0.04992325262585653,-0.022537442484116325,0.9411196198801386,0.9807159349148755,11829.5,0.8271207580165427,-0.009005612800536147,negligible,0.0,0.027385810141740203,1.0,False,False,0.009005612800536147
num_os_mentions,346,69,-0.3565391088761866,-0.3565391088761866,-0.054632450411917416,-0.05375735864825288,0.9043822848821199,0.8422086704291256,11841.5,0.8463142559103701,-0.008000335092569323,negligible,0.0,0.0008750917636645358,1.0,False,False,0.008000335092569323
has_stacktrace,346,69,-0.9429423479159332,-0.9429423479159332,-0.028070942537496535,-0.013804923558012553,0.999399060397866,1.0064122517351954,11852.0,0.9142847003183395,-0.007120717098098349,negligible,0.0,0.014266018979483982,1.0,False,False,0.007120717098098349
description_chars,346,69,-0.2340814028856876,-0.2535089510170165,0.07143831525629067,-0.1381543645038941,1.1691920491932464,0.5350009815731732,12018.5,0.9290490949459272,0.006827511099941359,negligible,-0.01942754813132888,-0.20959267976018475,1.0,False,False,0.006827511099941359
num_negative_modals,346,69,-0.2577319414569243,-0.2577319414569243,-0.0032842877458383953,-0.03863355189044686,0.9912725505778451,0.8128368544679512,11981.5,0.9372946784218745,0.0037279048337103124,negligible,0.0,-0.03534926414460846,1.0,False,False,0.0037279048337103124
n_sentences,346,69,-0.2868038552763112,-0.2868038552763112,0.04391350654402261,-0.15462403441229483,1.0360973615030358,0.48571668407457863,11915.5,0.9815472522820676,-0.0018011225601072295,negligible,0.0,-0.19853754095631743,1.0,False,False,0.0018011225601072295
has_S2R,346,69,0.0,0.0,0.0,0.0,0.0,0.0,11937.0,1.0,0.0,negligible,0.0,0.0,1.0,False,False,0.0
missing_S2R,346,69,0.0,0.0,0.0,0.0,0.0,0.0,11937.0,1.0,0.0,negligible,0.0,0.0,1.0,False,False,0.0
num_S2R,346,69,0.0,0.0,0.0,0.0,0.0,0.0,11937.0,1.0,0.0,negligible,0.0,0.0,1.0,False,False,0.0
behavior_verb_density,346,69,0.0,0.0,0.0,0.0,0.0,0.0,11937.0,1.0,0.0,negligible,0.0,0.0,1.0,False,False,0.0
behavior_verb_count,346,69,0.0,0.0,0.0,0.0,0.0,0.0,11937.0,1.0,0.0,negligible,0.0,0.0,1.0,False,False,0.0
contradiction_present,346,69,-0.0346271680532221,-0.0346271680532221,-0.03462716805322209,-0.03462716805322209,6.948942995202833e-18,6.98972897108572e-18,11937.0,1.0,0.0,negligible,0.0,0.0,1.0,False,False,0.0
