tool,feature,unique_count,other_count,unique_median,other_median,unique_mean,other_mean,unique_std,other_std,u_statistic,p_value,cliffs_delta,effect_size,median_diff,mean_diff,pval_adj,reject,significant,abs_delta
FlexFL,smog_index,113,44,12.3,12.2,12.358407079646017,12.877272727272727,3.0168196849294793,2.1559936614183517,2285.5,0.4342727258098412,-0.08065164923572003,negligible,0.10000000000000142,-0.5188656476267095,1.0,False,False,0.08065164923572003
FlexFL,num_temporal_markers,118,44,0.0,0.0,0.4152542372881356,0.5,0.9457622185978838,1.8739338053882117,2791.5,0.3254586207039545,0.07530816640986132,negligible,0.0,-0.0847457627118644,1.0,False,False,0.07530816640986132
FlexFL,temporal_density,118,44,0.0,0.0,0.04956854501650176,0.04593143461720536,0.154782367896263,0.14624987001774747,2785.5,0.3425708641258811,0.07299691833590138,negligible,0.0,0.0036371103992963935,1.0,False,False,0.07299691833590138
FlexFL,num_versions,118,44,0.0,0.5,1.2966101694915255,1.3181818181818181,2.1928762754778974,1.9262293238433024,2416.0,0.45189050729731906,-0.06933744221879815,negligible,-0.5,-0.0215716486902926,1.0,False,False,0.06933744221879815
FlexFL,num_EB,118,44,0.0,0.0,0.6101694915254238,0.4772727272727273,0.8870762337766483,0.7309960189385555,2752.0,0.5015866874561796,0.060092449922958396,negligible,0.0,0.13289676425269648,1.0,False,False,0.060092449922958396
FlexFL,num_negative_modals,118,44,0.0,0.0,0.2288135593220339,0.13636363636363635,1.0892718256899532,0.34714175717877416,2471.0,0.3646951489874277,-0.04815100154083205,negligible,0.0,0.09244992295839755,1.0,False,False,0.04815100154083205
FlexFL,has_EB,118,44,0.0,0.0,0.4067796610169492,0.36363636363636365,0.49332793024749505,0.48660709956247955,2708.0,0.6200025678011025,0.04314329738058552,negligible,0.0,0.04314329738058553,1.0,False,False,0.04314329738058552
FlexFL,missing_EB,118,44,1.0,1.0,0.5932203389830508,0.6363636363636364,0.49332793024749505,0.48660709956247955,2484.0,0.6200025678011025,-0.04314329738058552,negligible,0.0,-0.04314329738058553,1.0,False,False,0.04314329738058552
FlexFL,has_stacktrace,118,44,1.0,1.0,0.5254237288135594,0.5681818181818182,0.5014826633637031,0.5010559673853124,2485.0,0.6299631491343687,-0.04275808936825886,negligible,0.0,-0.04275808936825887,1.0,False,False,0.04275808936825886
FlexFL,modal_density,118,44,0.0,0.0217391304347826,0.15948600183380662,0.1642147292824461,0.35788706426549594,0.3617838128253343,2491.0,0.6704906797425911,-0.04044684129429892,negligible,-0.0217391304347826,-0.004728727448639475,1.0,False,False,0.04044684129429892
FlexFL,causal_density,118,44,0.25,0.1702898550724637,0.28427905640998874,0.26200225307191705,0.32956553583868453,0.3056123059396142,2675.5,0.7626140452881117,0.030624036979969183,negligible,0.07971014492753631,0.022276803338071693,1.0,False,False,0.030624036979969183
FlexFL,gunning_fog,113,44,10.94,10.855,11.385309734513276,11.344318181818181,3.7176605717066553,3.1319771582279676,2425.5,0.814593217470272,-0.024336283185840708,negligible,0.08499999999999908,0.040991552695095024,1.0,False,False,0.024336283185840708
FlexFL,stacktrace_depth,118,44,0.0,0.0,0.4915254237288136,0.25,2.9663231224648263,0.9431515698555192,2533.5,0.5340445015013344,-0.024075500770416026,negligible,0.0,0.24152542372881358,1.0,False,False,0.024075500770416026
FlexFL,has_os_info,118,44,0.0,0.0,0.11864406779661017,0.13636363636363635,0.32474820029830315,0.34714175717877416,2550.0,0.7636462308205989,-0.017719568567026195,negligible,0.0,-0.01771956856702618,1.0,False,False,0.017719568567026195
FlexFL,has_enumeration,118,44,0.0,0.0,0.01694915254237288,0.0,0.12963135419615376,0.0,2640.0,0.39176217076585207,0.01694915254237288,negligible,0.0,0.01694915254237288,1.0,False,False,0.01694915254237288
FlexFL,num_os_mentions,118,44,0.0,0.0,0.1271186440677966,0.13636363636363635,0.35916832159750856,0.34714175717877416,2553.0,0.7788990272173716,-0.016563944530046226,negligible,0.0,-0.009244992295839749,1.0,False,False,0.016563944530046226
FlexFL,num_causal_markers,118,44,1.0,1.0,2.7203389830508473,2.1136363636363638,4.1672011825773625,2.5628464289109907,2637.5,0.8745140681601299,0.015986132511556242,negligible,0.0,0.6067026194144836,1.0,False,False,0.015986132511556242
FlexFL,has_OB,118,44,1.0,1.0,0.9915254237288136,0.9772727272727273,0.0920574617898323,0.15075567228888181,2633.0,0.4723810353807527,0.014252696456086287,negligible,0.0,0.014252696456086289,1.0,False,False,0.014252696456086287
FlexFL,missing_OB,118,44,0.0,0.0,0.00847457627118644,0.022727272727272728,0.0920574617898323,0.15075567228888181,2559.0,0.4723810353807527,-0.014252696456086287,negligible,0.0,-0.014252696456086287,1.0,False,False,0.014252696456086287
FlexFL,num_OB,118,44,4.5,5.0,5.203389830508475,5.4772727272727275,3.398238160999028,3.908777459285146,2559.5,0.8914991355315557,-0.014060092449922958,negligible,-0.5,-0.2738828967642526,1.0,False,False,0.014060092449922958
FlexFL,has_code,118,44,0.0,0.0,0.1694915254237288,0.1590909090909091,0.37678543046584,0.3699894290244683,2623.0,0.8771469949772268,0.010400616332819723,negligible,0.0,0.010400616332819718,1.0,False,False,0.010400616332819723
FlexFL,num_browser_mentions,118,44,0.0,0.0,0.211864406779661,0.20454545454545456,0.46870789684882463,0.4615215208036401,2623.0,0.8837198403528367,0.010400616332819723,negligible,0.0,0.0073189522342064495,1.0,False,False,0.010400616332819723
FlexFL,num_exception_types,118,44,0.0,0.0,0.3898305084745763,0.38636363636363635,0.8063201025518502,0.8131451739977134,2621.5,0.9023002046434981,0.009822804314329739,negligible,0.0,0.0034668721109399336,1.0,False,False,0.009822804314329739
FlexFL,hidden_s2r_present,118,44,0.0,0.0,0.22033898305084745,0.22727272727272727,0.4162427221783924,0.42391510578572117,2578.0,0.927085927237298,-0.006933744221879815,negligible,0.0,-0.006933744221879812,1.0,False,False,0.006933744221879815
FlexFL,num_modal_verbs,118,44,0.0,0.5,1.1440677966101696,0.9318181818181818,1.8640798180372822,1.2648692785243687,2609.0,0.9591379657848276,0.005007704160246533,negligible,-0.5,0.21224961479198778,1.0,False,False,0.005007704160246533
FlexFL,has_patch,118,44,0.0,0.0,0.025423728813559324,0.022727272727272728,0.15807952162954783,0.15075567228888181,2603.0,0.9274444555450044,0.002696456086286595,negligible,0.0,0.0026964560862865958,1.0,False,False,0.002696456086286595
FlexFL,num_caused_by,118,44,0.0,0.0,0.0423728813559322,0.045454545454545456,0.2740661781897289,0.30151134457776363,2602.5,0.9330158878603928,0.0025038520801232665,negligible,0.0,-0.0030816640986132543,1.0,False,False,0.0025038520801232665
FlexFL,n_sentences,118,44,7.0,6.5,10.864406779661017,9.204545454545455,12.990407541975745,7.54699861936363,2601.0,0.9864480832764727,0.001926040061633282,negligible,0.5,1.6598613251155623,1.0,False,False,0.001926040061633282
FlexFL,behavior_verb_count,118,44,0.0,0.0,0.0,0.0,0.0,0.0,2596.0,1.0,0.0,negligible,0.0,0.0,1.0,False,False,0.0
FlexFL,behavior_verb_density,118,44,0.0,0.0,0.0,0.0,0.0,0.0,2596.0,1.0,0.0,negligible,0.0,0.0,1.0,False,False,0.0
FlexFL,contradiction_present,118,44,0.0,0.0,0.0,0.0,0.0,0.0,2596.0,1.0,0.0,negligible,0.0,0.0,1.0,False,False,0.0
FlexFL,has_S2R,118,44,0.0,0.0,0.0,0.0,0.0,0.0,2596.0,1.0,0.0,negligible,0.0,0.0,1.0,False,False,0.0
FlexFL,missing_S2R,118,44,1.0,1.0,1.0,1.0,0.0,0.0,2596.0,1.0,0.0,negligible,0.0,0.0,1.0,False,False,0.0
FlexFL,num_S2R,118,44,0.0,0.0,0.0,0.0,0.0,0.0,2596.0,1.0,0.0,negligible,0.0,0.0,1.0,False,False,0.0
boostnsift,description_length,17,145,865.0,594.0,1359.9411764705883,852.5586206896552,1216.470019697785,1276.5625277144677,1590.0,0.0398170720407178,0.29006085192697767,small,271.0,507.3825557809331,1.0,False,False,0.29006085192697767
boostnsift,num_modal_verbs,17,145,0.0,0.0,0.35294117647058826,1.1724137931034482,0.6063390625908325,1.788640186419587,903.5,0.050685480264315026,-0.2669371196754564,small,0.0,-0.8194726166328599,1.0,False,False,0.2669371196754564
