feature,none_count,all_count,none_median,all_median,none_mean,all_mean,none_std,all_std,u_statistic,p_value,cliffs_delta,effect_size,median_diff,mean_diff,pval_adj,reject,significant,abs_delta
temporal_density,21,532,0.0,0.0,0.10432299182299183,0.06621992425599946,0.18321330935278154,0.15454402020273658,6165.5,0.3219283252244831,0.10374149659863946,negligible,0.0,-0.038103067566992374,1.0,False,False,0.10374149659863946
stacktrace_depth,21,532,0.0,0.0,0.0,1.2424812030075187,0.0,5.605640138734773,5029.5,0.12955736990485994,-0.09962406015037593,negligible,0.0,1.2424812030075187,1.0,False,False,0.09962406015037593
num_browser_mentions,21,532,0.0,0.0,0.047619047619047616,0.15225563909774437,0.21821789023599236,0.4039990612533208,5072.5,0.22870454838545473,-0.09192624418188328,negligible,0.0,0.10463659147869675,1.0,False,False,0.09192624418188328
num_temporal_markers,21,532,0.0,0.0,0.7142857142857143,0.5545112781954887,1.1464230084422218,1.1460397485837726,6090.5,0.3863808297007868,0.09031507339778017,negligible,0.0,-0.15977443609022557,1.0,False,False,0.09031507339778017
gunning_fog,21,530,11.7,11.19,11.667142857142856,11.47145283018868,2.8018835501446935,3.0828318375484836,6004.0,0.5399843060039147,0.0788858939802336,negligible,-0.5099999999999998,-0.1956900269541766,1.0,False,False,0.0788858939802336
missing_EB,21,532,0.0,1.0,0.47619047619047616,0.5319548872180451,0.511766315719159,0.49944746667923295,5274.5,0.6164228771118596,-0.05576441102756892,negligible,1.0,0.055764411027568905,1.0,False,False,0.05576441102756892
has_EB,21,532,1.0,0.0,0.5238095238095238,0.4680451127819549,0.511766315719159,0.49944746667923295,5897.5,0.6164228771118596,0.05576441102756892,negligible,-1.0,-0.05576441102756896,1.0,False,False,0.05576441102756892
modal_density,21,532,0.0,0.0,0.15306437389770725,0.1573053870455366,0.19988468019806394,0.3377088790505016,5866.0,0.6757505521332905,0.05012531328320802,negligible,0.0,0.004241013147829348,1.0,False,False,0.05012531328320802
redundancy,21,532,0.2605892717838287,0.2703438550233841,0.266011417621658,0.2764212891627523,0.055609261851692425,0.09244742347374588,5311.0,0.7022983266323051,-0.049230218403150734,negligible,0.009754583239555414,0.010409871541094351,1.0,False,False,0.049230218403150734
has_code,21,532,0.0,0.0,0.3333333333333333,0.2894736842105263,0.48304589153964794,0.4539449443366995,5831.0,0.6652543975611862,0.043859649122807015,negligible,0.0,-0.04385964912280699,1.0,False,False,0.043859649122807015
num_OB,21,532,4.0,4.0,4.904761904761905,4.900375939849624,3.4771362053385526,3.105708226349769,5346.5,0.7370724035285319,-0.042875044754744004,negligible,0.0,-0.004385964912280826,1.0,False,False,0.042875044754744004
n_sentences,21,532,6.0,7.0,8.19047619047619,9.704887218045112,5.555349202516864,10.012484419132786,5363.5,0.7564545910327678,-0.03983172216254923,negligible,1.0,1.5144110275689222,1.0,False,False,0.03983172216254923
