project,bug_id,tool,detected,rank,mrr,map,duration_seconds,execution_timestamp,comparison_timestamp,cpu_avg_percent,cpu_max_percent,memory_avg_bytes,memory_max_bytes,memory_limit_bytes,network_rx_total_bytes,network_tx_total_bytes,disk_read_total_bytes,disk_write_total_bytes,top@1,top@5,top@10
Closure,107,BRaIn,Yes,3.0,0.3333333333333333,0.3333333333333333,N/A,2026-08-07T16:33:38.077290,2026-08-07T16:33:38.077290,,,,,,,,,,0,1,1
Closure,107,FlexFL,No,N/A,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Closure,107,bluir,Yes,4,0.250000,0.250000,22.606916904449463,2026-07-24T07:51:47.453668,2026-08-02T09:17:04.967189,260.1266666666666,510.13,1161974600.3333333,1539745775,134861973094,806,0,0,0,0,1,1
Closure,107,boostnsift,No,N/A,0.000000,0.000000,15.603591203689575,2026-07-24T07:51:41.469604,2026-08-02T09:17:04.967189,356.09,356.09,291084697.0,291084697,134861973094,536,0,0,0,0,0,0
Closure,107,buglocator,Yes,2,0.500000,0.500000,63.17791271209717,2026-08-02T10:00:28.668110,2026-08-03T08:48:34.293344,408.2,816.4,181613363.0,363226726,134861973094,266,0,0,0,0,1,1
Closure,107,locus,Yes,4,0.250000,0.250000,73.47242593765259,2026-08-02T10:00:29.271745,2026-08-03T08:48:34.293344,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,1
Closure,108,BRaIn,Yes,1.0,1.0,1.0,N/A,2026-08-07T16:33:38.077290,2026-08-07T16:33:38.077290,,,,,,,,,,1,1,1
Closure,108,FlexFL,No,N/A,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Closure,108,bluir,Yes,1,1.000000,1.000000,33.988850593566895,2026-07-24T07:52:31.863473,2026-08-02T09:17:04.967189,237.36333333333332,441.83,1130311799.6666667,1538672033,134861973094,806,0,0,0,1,1,1
Closure,108,boostnsift,No,N/A,0.000000,0.000000,19.9231858253479,2026-07-24T07:52:33.816005,2026-08-02T09:17:04.967189,7.255,14.51,16090398.5,32180797,134861973094,266,0,0,0,0,0,0
Closure,108,buglocator,Yes,1,1.000000,1.000000,70.98574948310852,2026-08-02T10:01:43.020831,2026-08-03T08:48:34.293344,302.735,605.47,190893260.5,381786521,134861973094,266,0,0,0,1,1,1
Closure,108,locus,Yes,1,1.000000,1.000000,80.20475125312805,2026-08-02T10:01:51.239067,2026-08-03T08:48:34.293344,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
Closure,109,BRaIn,No,,0.0,0.0,N/A,2026-08-07T16:33:38.077290,2026-08-07T16:33:38.077290,,,,,,,,,,0,0,0
Closure,109,FlexFL,Yes,2,0.500000,0.500000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
Closure,109,bluir,Yes,5,0.200000,0.200000,21.44685649871826,2026-07-24T07:53:04.828862,2026-08-02T09:17:04.967189,232.0466666666667,447.92,1069403515.0,1453846429,134861973094,586,0,0,0,0,1,1
Closure,109,boostnsift,Yes,55,0.018182,0.018182,20.316383361816406,2026-07-24T07:53:20.276507,2026-08-02T09:17:04.967189,42.49666666666667,108.06,475109785.3333333,963117056,134861973094,806,0,0,0,0,0,0
Closure,109,buglocator,Yes,14,0.071429,0.071429,80.09752464294434,2026-08-02T10:03:14.552392,2026-08-03T08:48:34.293344,378.29,612.86,962123005.5,1552630677,134861973094,516,0,N/A,0,0,0,0
Closure,109,locus,Yes,10,0.100000,0.100000,84.16416049003601,2026-08-02T10:03:10.470339,2026-08-03T08:48:34.293344,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,1
Closure,110,BRaIn,Yes,6.0,0.16666666666666666,0.16666666666666666,N/A,2026-08-07T16:33:38.077290,2026-08-07T16:33:38.077290,,,,,,,,,,0,0,1
Closure,110,FlexFL,Yes,4,0.250000,0.250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,1
Closure,110,bluir,Yes,19,0.052632,0.057566,22.02163553237915,2026-07-24T07:54:07.524411,2026-08-02T09:17:04.967189,267.9266666666667,395.56,1091775932.6666667,1492501135,134861973094,806,0,0,0,0,0,0
Closure,110,boostnsift,No,N/A,0.000000,0.000000,12.999325513839722,2026-07-26T16:35:40.954335,2026-08-02T09:17:04.967189,2.8,2.8,23351787.0,23351787,134861973094,266,0,11100000,0,0,0,0
Closure,110,buglocator,Yes,30,0.033333,0.047917,103.61027884483337,2026-08-02T10:06:17.754843,2026-08-03T08:48:34.293344,275.54,551.08,172438323.0,344876646,134861973094,266,0,0,0,0,0,0
Closure,110,locus,Yes,37,0.027027,0.035253,116.1358859539032,2026-08-02T10:06:18.319328,2026-08-03T08:48:34.293344,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Closure,111,BRaIn,No,,0.0,0.0,N/A,2026-08-07T16:33:38.077290,2026-08-07T16:33:38.077290,,,,,,,,,,0,0,0
Closure,111,FlexFL,No,N/A,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Closure,111,bluir,Yes,122,0.008197,0.008197,36.08931517601013,2026-07-23T10:21:54.941107,2026-08-02T09:17:04.967189,222.08,510.33,631395144.6666666,1464583847,134861973094,516,0,0,0,0,0,0
Closure,111,boostnsift,No,N/A,0.000000,0.000000,12.75122332572937,2026-07-23T10:22:10.827326,2026-08-02T09:17:04.967189,1.74,1.74,22754099.0,22754099,134861973094,486,0,0,N/A,0,0,0
Closure,111,buglocator,Yes,212,0.004717,0.004717,81.53108191490173,2026-08-02T10:07:42.539396,2026-08-03T08:48:34.293344,377.17499999999995,562.54,928319012.5,1526860873,134861973094,516,0,0,0,0,0,0
