tool,label_mode,base_prefix,feature,n_pos,n_neg,median_pos,median_neg,u_stat,p_value,cliffs_delta,p_adj,reject,abs_delta
buglocator__is_missing,winner,mrr,num_negative_modals,22,813,-0.229448596746231,-0.229448596746231,9124.5,0.766405480230824,0.02029520295202952,1.0,False,0.02029520295202952
buglocator__is_missing,winner,mrr,txt_title_hedge_count,22,813,-0.1305847431833189,-0.1305847431833189,8789.0,0.5363495042677324,-0.017220172201722016,1.0,False,0.017220172201722016
buglocator__is_missing,winner,mrr,txt_title_hedge_density,22,813,-0.1284244317598413,-0.1284244317598413,8789.0,0.5363684405317649,-0.017220172201722016,1.0,False,0.017220172201722016
buglocator__is_missing,winner,mrr,num_caused_by,22,813,-0.1137530188274467,-0.1137530188274467,8800.0,0.5516239046659517,-0.015990159901599015,1.0,False,0.015990159901599015
buglocator__is_missing,winner,mrr,num_browser_mentions,22,813,-0.2339032262264716,-0.2339032262264716,8864.5,0.8582125706550171,-0.00877781505087778,1.0,False,0.00877781505087778
buglocator__is_missing,winner,mrr,txt_title_has_code_like,22,813,0.0,0.0,8877.0,0.6883518347591031,-0.007380073800738007,1.0,False,0.007380073800738007
buglocator__is_missing,winner,mrr,txt_likely_impacted_code_concepts_uniq_word_ratio,22,813,0.348721765756699,0.348721765756699,8998.0,0.9229544231260205,0.006150061500615006,1.0,False,0.006150061500615006
buglocator__is_missing,winner,mrr,potential_vague_steps,22,813,-0.069379231313596,-0.069379231313596,8899.0,0.744539304839938,-0.004920049200492005,1.0,False,0.004920049200492005
buglocator__is_missing,winner,mrr,txt_title_question_density,22,813,-0.0586287119753727,-0.0586287119753727,8910.0,0.7787547950882151,-0.0036900369003690036,1.0,False,0.0036900369003690036
buglocator__is_missing,winner,mrr,txt_reasoning_exclaim_density,22,813,-0.0346271680532221,-0.0346271680532221,8932.0,0.8752268894015532,-0.0012300123001230013,1.0,False,0.0012300123001230013
buglocator__is_missing,winner,mrr,steps_with_specific_actions,22,813,0.0,0.0,8943.0,1.0,0.0,1.0,False,0.0
buglocator__is_missing,winner,mrr,potential_ambiguous_steps,22,813,0.0,0.0,8943.0,1.0,0.0,1.0,False,0.0
buglocator__is_missing,winner,mrr,behavior_verb_count,22,813,0.0,0.0,8943.0,1.0,0.0,1.0,False,0.0
buglocator__is_missing,winner,mrr,behavior_verb_density,22,813,0.0,0.0,8943.0,1.0,0.0,1.0,False,0.0
buglocator__is_missing,winner,mrr,specificity_score,22,813,0.0,0.0,8943.0,1.0,0.0,1.0,False,0.0
buglocator__is_missing,winner,mrr,cat_is_missing,22,813,0.0,0.0,8943.0,1.0,0.0,1.0,False,0.0
buglocator__is_missing,winner,mrr,txt_title_line_count,22,813,0.0,0.0,8943.0,1.0,0.0,1.0,False,0.0
buglocator__is_missing,winner,mrr,txt_title_exclaim_density,22,813,0.0,0.0,8943.0,1.0,0.0,1.0,False,0.0
buglocator__is_missing,winner,mrr,txt_title_is_missing,22,813,0.0,0.0,8943.0,1.0,0.0,1.0,False,0.0
buglocator__is_missing,winner,mrr,txt_reasoning_line_count,22,813,0.0,0.0,8943.0,1.0,0.0,1.0,False,0.0
buglocator__is_missing,winner,mrr,txt_reasoning_question_density,22,813,0.0,0.0,8943.0,1.0,0.0,1.0,False,0.0
buglocator__is_missing,winner,mrr,txt_reasoning_is_missing,22,813,0.0,0.0,8943.0,1.0,0.0,1.0,False,0.0
buglocator__is_missing,winner,mrr,txt_likely_impacted_code_concepts_line_count,22,813,0.0,0.0,8943.0,1.0,0.0,1.0,False,0.0
buglocator__is_missing,winner,mrr,txt_likely_impacted_code_concepts_hedge_count,22,813,0.0,0.0,8943.0,1.0,0.0,1.0,False,0.0
buglocator__is_missing,winner,mrr,txt_likely_impacted_code_concepts_hedge_density,22,813,0.0,0.0,8943.0,1.0,0.0,1.0,False,0.0
buglocator__is_missing,winner,mrr,txt_likely_impacted_code_concepts_question_density,22,813,0.0,0.0,8943.0,1.0,0.0,1.0,False,0.0
buglocator__is_missing,winner,mrr,txt_likely_impacted_code_concepts_exclaim_density,22,813,0.0,0.0,8943.0,1.0,0.0,1.0,False,0.0
buglocator__is_missing,winner,mrr,txt_likely_impacted_code_concepts_is_missing,22,813,0.0,0.0,8943.0,1.0,0.0,1.0,False,0.0
