feature,all_n,none_n,all_median,none_median,all_mean,none_mean,median_diff,u_statistic,p_value,cliffs_delta,effect_size,pval_adj,reject,significant,abs_delta,practically_significant
z_reasoning_quality,22,287,0.9117239158797774,-0.2401922307076307,0.3702504798005595,0.024157989558853565,1.1519161465874082,3769.0,0.12991308814503583,0.19385492556224262,small,1.0,False,False,0.19385492556224262,False
z_reproducibility,22,287,0.38153986983387894,0.5359422007578724,0.2965284856298045,0.41032353448194697,-0.1544023309239934,2699.0,0.25718783656693467,-0.1450744377573646,negligible,1.0,False,False,0.1450744377573646,False
semantic_coherence,22,287,-0.28176850624532723,-0.1094590888636778,-0.13952972582669707,0.2428472638935747,-0.17230941738164943,2730.0,0.29085406686527526,-0.1352549889135255,negligible,1.0,False,False,0.1352549889135255,False
smog,22,287,13.15,12.2,12.804545454545455,12.327688859362212,0.9500000000000011,3561.5,0.31705567084014974,0.12812796959138423,negligible,1.0,False,False,0.12812796959138423,False
z_impact_scope,22,287,-0.0998344235663759,-0.2248595066987582,-0.17548981739525651,-0.21727813093088358,0.1250250831323823,3509.5,0.3832916613386581,0.11165663604687995,negligible,1.0,False,False,0.11165663604687995,False
num_exception_types,22,287,-0.5251530779927517,-0.5251530779927517,0.13924513431625987,-0.07527600740488435,0.0,3477.5,0.2884602001811709,0.10152043078872347,negligible,1.0,False,False,0.10152043078872347,False
fog,22,287,12.78,11.09,11.742272727272727,11.745694791880236,1.6899999999999995,3448.5,0.4711982412212391,0.09233449477351917,negligible,1.0,False,False,0.09233449477351917,False
report_vocab_size,22,287,74.0,72.0,79.5909090909091,83.95121951219512,2.0,3442.5,0.48035295332162864,0.09043395628761483,negligible,1.0,False,False,0.09043395628761483,False
causal_consistency,22,287,0.8530495906351674,0.8520169536757485,0.8536404645141882,0.8169424040253329,0.0010326369594189089,3405.5,0.5391505147187261,0.0787139689578714,negligible,1.0,False,False,0.0787139689578714,False
num_env_mentions,22,287,-0.2192296649910203,-0.2192296649910203,-0.21922966499102026,0.047498603374677775,0.0,2937.0,0.20228251471698666,-0.06968641114982578,negligible,1.0,False,False,0.06968641114982578,False
num_OB,22,287,-0.2886514946017978,-0.0777818550633016,-0.1640467076017773,0.0801866902355719,-0.2108696395384962,2952.5,0.6119045980212514,-0.06477668672790624,negligible,1.0,False,False,0.06477668672790624,False
semantic_entropy,22,287,0.075110437451479,0.3169125881206435,0.09000989395993755,-0.17662586241827122,-0.2418021506691645,3328.0,0.6728408727863657,0.05416534684827368,negligible,1.0,False,False,0.05416534684827368,False
lix,22,287,51.445,51.69,52.14045454545454,52.360281243381124,-0.24499999999999744,3309.5,0.7066496202899144,0.04830535318340196,negligible,1.0,False,False,0.04830535318340196,False
num_EB,22,287,-0.1885942875206404,-0.673136533919824,-0.056446402139044845,-0.05521854722260727,0.4845422463991836,3288.0,0.7167298233156914,0.04149509027557808,negligible,1.0,False,False,0.04149509027557808,False
buggy_vocab_size,22,287,225.0,232.0,253.63636363636363,290.14285714285717,-7.0,3032.5,0.758818449751332,-0.03943617358251505,negligible,1.0,False,False,0.03943617358251505,False
stacktrace_depth,22,287,-0.2020454871191189,-0.2020454871191189,-0.12289766415726638,-0.05036847447445379,0.0,3272.5,0.4711444444993821,0.036585365853658534,negligible,1.0,False,False,0.036585365853658534,False
z_actionability,22,287,0.6279868532037446,0.7683498199278325,0.6641334644870056,0.5598856553031913,-0.14036296672408788,3268.0,0.7843434133435097,0.035159961989230284,negligible,1.0,False,False,0.035159961989230284,False
num_buggy_files,22,287,1.0,1.0,1.1818181818181819,1.2299651567944252,0.0,3063.5,0.72108813072538,-0.029616724738675958,negligible,1.0,False,False,0.029616724738675958,False
technical_consistency,22,287,0.8,0.8,0.740909090909091,0.7073170731707317,0.0,3227.5,0.8603467727230966,0.02233132720937599,negligible,1.0,False,False,0.02233132720937599,False
num_temporal_markers,22,287,-0.4635308650875505,-0.4635308650875505,-0.1880236547523123,-0.0049464393229727895,0.0,3091.5,0.8372044875818602,-0.02074754513778904,negligible,1.0,False,False,0.02074754513778904,False
exception_user_frames,22,287,-0.2073567129463963,-0.2073567129463963,-0.09954671586654516,-0.06686563661237424,0.0,3220.5,0.7263817873063483,0.02011403230915426,negligible,1.0,False,False,0.02011403230915426,False
quality_std,22,287,0.1914854215512676,0.1914854215512676,0.2001735851612616,0.20630395121928335,0.0,3156.0,0.9990077258345755,-0.0003167564143173899,negligible,1.0,False,False,0.0003167564143173899,False
