project,bug_id,tool,succeeded,duration_seconds,energy_consumed_kwh,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,emissions_kg_co2,gpu_energy_nvml_kwh
JacksonDatabind,JacksonDatabind-51,boostnsift,True,18.607197046279907,0.0002831283648545896,0.00012038892120080903,0.0,0.00016273944365378053,0.00013153747451433436,0.0
JacksonDatabind,JacksonDatabind-51,buglocator,True,71.81030201911926,0.0012839426846256831,0.0005607783824167049,0.0,0.0007231643022089782,0.0005965017960795076,0.0
JacksonDatabind,JacksonDatabind-51,locus,True,107.69334483146667,0.0019323586912291116,0.0008306734124822949,0.0,0.0011016852787468167,0.0008977467949233681,0.0
JacksonDatabind,JacksonDatabind-52,blia,True,136.2174162864685,0.002494363586464916,0.0010917711882924646,0.0,0.0014025923981724512,0.0011588464011813894,0.0
JacksonDatabind,JacksonDatabind-52,bluir,True,18.179584503173828,0.00027801723862925533,0.00011979634183593292,0.0,0.00015822089679332242,0.00012916291682581123,0.0
JacksonDatabind,JacksonDatabind-52,boostnsift,True,20.980167388916016,0.00032812365701462417,0.00014041949590501445,0.0,0.00018770416110960972,0.00015244165731779618,0.0
JacksonDatabind,JacksonDatabind-52,buglocator,True,83.72054433822632,0.0015045811121569585,0.0006559582799383596,0.0,0.0008486228322185989,0.0006990073205725527,0.0
JacksonDatabind,JacksonDatabind-52,locus,True,77.12098121643066,0.0013795038502854777,0.000600295148146749,0.0,0.0007792087021387285,0.0006408981757887289,0.0
JacksonDatabind,JacksonDatabind-53,blia,True,132.0630521774292,0.0024020688703634656,0.0010437918773033947,0.0,0.0013582769930600706,0.001115967568206681,0.0
JacksonDatabind,JacksonDatabind-53,bluir,True,19.138909101486206,0.0002928276547392835,0.00012447575998664366,0.0,0.00016835189475263986,0.00013604362880470478,0.0
JacksonDatabind,JacksonDatabind-53,boostnsift,True,20.09168553352356,0.0003098479671620576,0.00013179751451846615,0.0,0.0001780504526435915,0.0001439510276719517,0.0
JacksonDatabind,JacksonDatabind-53,buglocator,True,81.77364444732666,0.0014653062831260525,0.0006329390786890203,0.0,0.0008323672044370323,0.0006807607848524003,0.0
JacksonDatabind,JacksonDatabind-53,locus,True,126.55053162574768,0.002310780444417169,0.0010102134500845643,0.0,0.001300566994332605,0.0010735562435499949,0.0
JacksonDatabind,JacksonDatabind-54,blia,True,134.3869411945343,0.002448069705236415,0.0010646639698409799,0.0,0.001383405735395435,0.001137338912076965,0.0
JacksonDatabind,JacksonDatabind-54,bluir,True,22.075039863586426,0.00034665849101046765,0.00014725671625427116,0.0,0.00019940177475619646,0.00016105268170458912,0.0
JacksonDatabind,JacksonDatabind-54,boostnsift,True,23.109394550323486,0.0003807480051161463,0.00016178783265976762,0.0,0.00021896017245637872,0.00017689019270488994,0.0
JacksonDatabind,JacksonDatabind-54,buglocator,True,82.46683025360107,0.0014600838889947153,0.0006251552858037866,0.0,0.0008349286031909287,0.0006783345336524988,0.0
JacksonDatabind,JacksonDatabind-54,locus,True,156.65517807006836,0.002859977960335832,0.0012419629744189035,0.0,0.001618014985916929,0.001328705720680583,0.0
JacksonDatabind,JacksonDatabind-55,blia,True,110.53461742401123,0.002022712116149048,0.0008911244134281044,0.0,0.0011315877027209436,0.0009397237311932217,0.0
JacksonDatabind,JacksonDatabind-55,bluir,True,18.877148628234863,0.0002877163951856943,0.00012231918553847924,0.0,0.00016539720964721505,0.00013366900917374097,0.0
JacksonDatabind,JacksonDatabind-55,boostnsift,True,17.248026132583618,0.00025899355350688156,0.00011067370360204799,0.0,0.00014831984990483358,0.00012032477904954808,0.0
JacksonDatabind,JacksonDatabind-55,buglocator,True,75.47949552536011,0.0013314286717589728,0.0005694950272663797,0.0,0.0007619336444925931,0.0006185631208978143,0.0
JacksonDatabind,JacksonDatabind-55,locus,True,83.4524884223938,0.0014890289201168567,0.0006430127833902854,0.0,0.0008460161367265715,0.00069178198988141,0.0
JacksonDatabind,JacksonDatabind-56,blia,True,90.45047354698181,0.001624606200209745,0.000705537740283365,0.0,0.0009190684599263801,0.0007547692961306446,0.0
JacksonDatabind,JacksonDatabind-56,bluir,True,21.390594959259033,0.00033421338679287066,0.0001420896264250235,0.0,0.00019212376036784715,0.00015527086051655262,0.0
JacksonDatabind,JacksonDatabind-56,boostnsift,True,22.640558004379272,0.0003607068766550524,0.00015336304901379379,0.0,0.0002073438276412586,0.00016757936499766418,0.0
JacksonDatabind,JacksonDatabind-56,buglocator,True,83.8905074596405,0.0014883345800516487,0.00063778655990155,0.0,0.0008505480201500986,0.0006914594092078752,0.0
JacksonDatabind,JacksonDatabind-56,locus,True,100.54982805252075,0.0017992840184607578,0.0007728799990973263,0.0,0.0010264040193634315,0.0008359221650006096,0.0
