metric,feature,corr,pval,pval_adj,reject
mrr_buglocator,flesch_reading_ease,0.20845227326713198,1.0761227608510424e-07,2.6795456745190955e-05,True
mrr_buglocator,smog_index,-0.15015082267508104,0.00014079167787329423,0.025483293695066255,True
mrr_buglocator,gunning_fog,-0.1368406425994869,0.0005283607607935426,0.08717952553093453,False
mrr_buglocator,coleman_liau_index,-0.18755024838115444,1.8388577405599562e-06,0.00041006527614487025,True
mrr_buglocator,automated_readability_index,-0.19223534674995563,9.992712766546102e-07,0.00022783385107725114,True
mrr_buglocator,num_steps,-0.007920257835904849,0.8192362520940588,1.0,False
mrr_buglocator,avg_step_length,-0.00813302320240731,0.814467482546877,1.0,False
mrr_buglocator,steps_with_objects,0.002118474809675563,0.9512599865839233,1.0,False
mrr_buglocator,steps_with_specific_actions,,,,
mrr_buglocator,potential_ambiguous_steps,,,,
mrr_buglocator,potential_vague_steps,-0.015876241514308834,0.6468753417384417,1.0,False
mrr_buglocator,num_causal_markers,0.3214045568123587,1.6121247694755977e-21,5.078193023848132e-19,True
mrr_buglocator,num_temporal_markers,0.17767589478918216,2.3703432261597007e-07,5.7836374718296695e-05,True
mrr_buglocator,causal_density,0.3154480227971806,9.52673760836355e-21,2.9913956090261546e-18,True
mrr_buglocator,temporal_density,0.1783980454307149,2.1141149201375608e-07,5.179581554337024e-05,True
mrr_buglocator,num_os_mentions,0.11201173200979447,0.0011865607215645222,0.17917066895624287,False
mrr_buglocator,num_browser_mentions,0.040778189597735416,0.23916919462598382,1.0,False
mrr_buglocator,num_env_mentions,0.014485602164503085,0.6759645556875333,1.0,False
mrr_buglocator,num_versions,0.2798055048072221,1.7458831824768044e-16,5.185273051956109e-14,True
mrr_buglocator,num_exception_types,0.17374106924927446,4.385139160398767e-07,0.00010480482593353053,True
mrr_buglocator,stacktrace_depth,0.09456690106968249,0.006244154094031061,0.8604915580927998,False
mrr_buglocator,num_caused_by,0.08070699053004407,0.01967698071885672,1.0,False
mrr_buglocator,behavior_verb_count,,,,
mrr_buglocator,behavior_verb_density,,,,
mrr_buglocator,num_modal_verbs,0.16733868510535685,1.1587571079523752e-06,0.00026303786350518916,True
mrr_buglocator,num_negative_modals,0.05632704658325849,0.10384330216015701,1.0,False
mrr_buglocator,modal_density,0.1705384107315859,7.162191414213983e-07,0.0001661628408097644,True
mrr_buglocator,redundancy,-0.02845995974861174,0.41146183977451345,1.0,False
mrr_buglocator,ambiguity,0.13334050667627756,0.00011129262367651632,0.020477842756479004,True
mrr_buglocator,completeness_score,0.18135701102660737,0.5935700235074866,1.0,False
mrr_buglocator,specificity_score,,,,
mrr_buglocator,actionability,0.412545034980589,1.1950527144522234e-35,4.218536082016349e-33,True
mrr_buglocator,clarity,0.4104787767375019,2.8174467921565685e-35,9.917412708391121e-33,True
mrr_buglocator,specificity,0.3730521924702901,5.755532584629368e-29,1.9626366113586144e-26,True
mrr_buglocator,expected_observed_alignment,0.4086583870548038,5.968276099248498e-35,2.094864910836223e-32,True
mrr_buglocator,technical_depth,0.36370241525530594,1.6316066217354314e-27,5.531146447683113e-25,True
mrr_buglocator,causal_reasoning_quality,0.44929330912006343,1.0042578375377371e-42,3.6153282151358537e-40,True
mrr_buglocator,repair_difficulty,-0.42863349550930047,1.220814779533066e-38,4.358308762933045e-36,True
mrr_buglocator,description_length,0.3417055781954434,2.7875535466376157e-24,9.171051168437757e-22,True
mrr_buglocator,confidence,0.4325443100589351,2.1621873987378645e-39,7.762252761468934e-37,True
mrr_locus,summary_chars,-0.006701491623248964,0.8466763846348175,1.0,False
mrr_locus,description_chars,-0.15290487830993807,9.084179991285305e-06,0.0018985936181786288,True
mrr_locus,n_tokens,-0.11806509027669451,0.0006296632715666468,0.10137578672223013,False
mrr_locus,n_words,-0.13919972247822884,5.436902434491745e-05,0.010493221698569068,True
mrr_locus,n_sentences,-0.13694956052903884,7.183151513829778e-05,0.01357615636113828,True
mrr_locus,flesch_reading_ease,0.17211463236015567,1.2338260276516886e-05,0.0025416816169624786,True
mrr_locus,smog_index,-0.1733439805347439,1.0665245937433888e-05,0.002207705909048815,True
mrr_locus,gunning_fog,-0.21500394658794741,4.150449071925246e-08,1.0376122679813115e-05,True
mrr_locus,coleman_liau_index,-0.08586440938661637,0.03011510126739894,1.0,False
mrr_locus,automated_readability_index,-0.07775321660840182,0.049638798379914646,1.0,False
